@@,item,itemlabel,startdate,enddate
+++,,"Lieutenant-Colonel Paul Nkegbe(Commissioner for Education, Culture and Sports)",1973,
+++,Q5379334,Enoch Teye Mensah,1993-02,2001-01
+++,,Mallam Isa,2001-02,2001-03
+++,,E. Osei Kweku,2001-11,2003-04
->,Q4701911,Akua Dansua->Akua Sena Dansua,2010-02,2011-01
->,Q5131356,Clement Kofi Humado,2011-02,2013-01->2012-07
+++,Q5131356,Clement Kofi Humado,2012-07,2013-01
->,Q16734231,Edwin Nii Lante Vanderpuye->Nii Lante Vanderpuye,2016-01,2017-01
->,Q84360315,Ussif Mustapha->Mustapha Ussif,2021-03-05,
