item,itemLabel,startDate,endDate,psid
Q1237560,Dominic Fobih,2007-08-01,2009-01-01,Q1237560-8FCE362E-823F-45B8-BFD2-2180219BA141
Q16148390,Elvis Afriyie Ankrah,2013-02-01,2014-07-01,Q16148390-9777F13B-746D-4EC1-BC47-2E7A3C5BC29F
Q16733008,Muntaka Mohammed Mubarak,2009-02-01,2009-06-01,Q16733008-EAEF538E-7036-4B64-883B-EAA023765463
Q16734231,Edwin Nii Lante Vanderpuye,2016-01-01,2017-01-01,Q16734231-945D088F-05CF-4228-B8BC-BA26629D9814
Q1698546,Papa Owusu-Ankomah,2006-05-01,2007-08-01,Q1698546-02E8B55D-AF04-40D8-8320-C46D21E07196
Q1698546,Papa Owusu-Ankomah,2001-08-01,2001-10-01,Q1698546-5D1A9B61-714A-48D4-8824-EA7F1E40BFDA
Q1794877,Kwadwo Baah Wiredu,2003-04-01,2005-02-01,Q1794877-EA80FAE1-AAEF-4DF7-9D85-50C0778B4CE7
Q2599806,Yaw Osafo-Maafo,2005-02-01,2006-05-01,Q2599806-6A04F146-5300-4175-AAC2-1C685B548C0B
Q33108613,Isaac Kwame Asiamah,2017-02-01,2021-01-01,Q33108613-C981CD41-A2D8-4018-B948-17774F25595A
Q4665233,Abdul-Rashid Pelpuo,2009-07-01,2010-01-01,Q4665233-840A882D-EAEB-4205-930A-5B3AC2EA461D
Q4701911,Akua Dansua,2010-02-01,2011-01-01,Q4701911-8D5EA547-777F-44A6-8408-49E1D91F068B
Q5131356,Clement Kofi Humado,2011-02-01,2013-01-01,Q5131356-E41313AB-6EA9-4099-921C-0274EAC0B12A
Q6732981,Mahama Ayariga,2014-07-01,2015-03-01,Q6732981-7CA04F34-5649-49DE-B98E-37B3B1B92CDF
Q84360315,Ussif Mustapha,2021-03-05,,Q84360315-3A24AF5C-71B1-4301-8860-A6E4339F8653
Q84561754,Mustapha Ahmed,2015-03-01,2016-01-01,Q84561754-7CDBB25E-9C95-4D2C-92CC-E9AB191AF99A
