@@,item,itemlabel,startdate,enddate
+++,Q26924422,Cecilia Johnson,,2001-01-06
+++,,Lt. Col. K. A. Jackson,,
+++,,Lt. Col. B. K. Ahlijah,,
+++,Q1270076,A. E. A. Ofori-Atta,1957-03-06,
+++,Q1794910,Kwamena Ahwoi,1994,
+++,Q1794877,Kwadwo Baah-Wiredu,2001,2003
+++,Q1794870,Kwadwo Adjei-Darko,2003,2005
+++,,Charles Bimpong Bintim (Local Government and Rural Development),2005,2006
->,Q2344521,Stephen Asamoah-Boateng->Stephen Asamoah Boateng,2006,2007
->,Q7412301,Samuel Ofosu-Ampofo,2011,2013->2012
+++,Q7412301,Samuel Ofosu-Ampofo,2012,2013
