item,itemLabel,startDate,endDate,psid
Q1569692,Alima Mahama,2017-01-01,,Q1569692-C927B715-2FEA-409D-B707-3BD987F55604
Q16199405,Akwasi Oppong Fosu,2013-01-01,2017-01-06,Q16199405-D971A521-260C-4763-9EE4-F51064AF0905
Q1708293,Joseph Yieleh Chireh,2009-01-01,2011-01-01,Q1708293-49713754-7117-404A-A23A-323E7FFE3A37
Q1794870,Kwadwo Adjei-Darko,2007-01-01,2009-01-06,Q1794870-D6BE995C-73D7-4CF1-B68B-97C2EA072A10
Q6297382,Joyce Aryee,1987-01-01,1988-01-01,Q6297382-0b61be0d-4b2b-66fa-8ef7-79ff0691d5ed
Q7412301,Samuel Ofosu-Ampofo,2011-01-01,2013-01-01,Q7412301-DEBEE8B9-DE68-4058-9648-A2256E5E777F
