@@,itemlabel,item,startdate,enddate
+++,Alfred Jonas Dowuona-Hammond,Q61524658,,
+++,Ekwow Spio-Garbrah,Q605985,,2001-01-07
+++,"Lieutenant-Colonel Paul Nkegbe(Education, Culture and Sport)",,,
+++,"Colonel Emmanuel Obeng Nyante(Education, Culture and Sport)",,,
+++,J. B. Erzuah,Q23907250,1957-03-06,
+++,Kwaku Boateng,Q6450030,1964-05-01,1966-02-24
+++,Modjaben Dowuona,Q104450431,1966,1969
+++,William Ofori Atta,Q2580160,1969,1971
+++,R. R. Amponsah,Q7308853,1971,1972-01-13
+++,E. Evans Anfom,Q5415879,1979,1979-09-24
+++,Francis Kwame Buah,,1980,1981-12-31
+++,Christina Ama Ataa Aidoo,Q298224,1982,1983
+++,V. C. Dadson,,1983,
->,Joyce Aryee,Q6297382,1985-01-01->1985,1987-01-01->1987
+++,Mohammed Ben Abdallah,Q20684844,1987,
+++,Adisa Munkaila,,1988,1989
+++,Mary Grant,Q26966428,1989,1993-01-07
+++,Harry Sawyerr,Q5672203,1993,1997
+++,Esi Sutherland-Addy,Q23887883,1997,
->,Christine Amoako-Nuama->Christina Amoako-Nuamah,Q62076503,1997-01-01->1997,1998-01-01->1998
+++,Christopher Ameyaw Akumfi,Q1086476,2001,2003
---,Christine Churcher,Q1083474,2001-01-01,2005-01-01
+++,Kwadwo Baah Wiredu,Q1794877,2003,2005
->,Yaw Osafo-Maafo,Q2599806,2005-01-01->2005-02-01,2006-01-01->2006
+++,Papa Owusu-Ankomah,Q1698546,2006-04-28,2007
+++,Dominic Fobi,,2007-08-01,2009-01-07
->,Alex Tettey-Enyo,Q4717883,2009-02-01->2009,2011-01-01->2011
+++,Betty Mould-Iddrisu,Q850396,2011-01-04,2012
+++,Lee Ocran,Q6514673,2012,2012-10-24
---,Lee Ocran,Q6514673,2012-02-01,2013-02-01
+++,Lee Ocran,Q6514673,2012-10-24,2013-01-07
->,Jane Naana Opoku-Agyemang->Jane Naana Opoku Agyemang,Q14920500,2013-02-01->2013,2017-01-01->2017-01-06
+++,Matthew Opoku Prempeh,Q28677017,2017-01-28,
