item,itemLabel,startDate,endDate,psid
Q104450431,Modjaben Dowuona,1966-01-01,1969-01-01,Q104450431-8B1110B9-A0C7-4E71-BD06-484AD09C092D
Q1086476,Christopher Ameyaw-Akumfi,2001-01-01,2003-01-01,Q1086476-4F64683B-C6CC-4A76-8200-954F3E551EF1
Q1237560,Dominic Fobih,2007-08-01,2009-01-07,Q1237560-BF229577-A46C-4697-A096-AE7920CF74A7
Q14920500,Jane Naana Opoku-Agyemang,2013-02-01,2017-01-01,Q14920500-8b43f485-4bab-3f07-5445-0c95e79691ac
Q1698546,Papa Owusu-Ankomah,2006-04-28,2007-01-01,Q1698546-3764913C-4AD7-411A-8D20-0B1053AAB713
Q1794877,Kwadwo Baah Wiredu,2003-01-01,2005-01-01,Q1794877-F049F2BB-A2B8-4B66-9644-1ED32A419F7E
Q20684844,Mohammed ben Abdallah,1987-01-01,1988-01-01,Q20684844-0FB09814-2B42-4654-BF85-35273F876A5E
Q23887883,Esi Sutherland-Addy,1997-01-01,1997-01-01,Q23887883-AA539F26-BE72-4576-AB76-37F2187C3AB6
Q23907250,John Bogolo Erzuah,1957-03-06,1950-01-01,Q23907250-22BA86A1-6D01-4EFB-87E8-24E3CD27BB27
Q2580160,William Ofori Atta,1969-01-01,1971-01-01,Q2580160-87B8A898-663E-4CC5-8BC6-C4ED6571586B
Q2599806,Yaw Osafo-Maafo,2005-01-01,2006-01-01,Q2599806-689AECA1-701F-4D9C-9429-9CF082C7B98B
Q26966428,Mary Grant,1989-01-01,1993-01-07,Q26966428-3E50AAA8-83D2-4951-BB6A-E98D9A38E993
Q28677017,Matthew Opoku Prempeh,2017-01-28,,Q28677017-B10EC637-FAA8-4853-8D4A-7269B0D270F7
Q298224,Ama Ata Aidoo,1982-01-01,1983-01-01,Q298224-CDBC8B51-C6EF-42DD-AFA4-DE622077D70A
Q4717883,Alex Tettey-Enyo,2009-02-01,2011-01-01,Q4717883-48AF5AE1-8BFE-4326-AFD0-05A87497F3F8
Q5415879,Evans Anfom,1979-01-01,1979-09-24,Q5415879-91352CD9-7BCC-4B4C-915D-37772F411F87
Q5672203,Henry Sawyerr,1993-01-01,1997-01-01,Q5672203-2D9C784B-706D-49AF-AAA0-C9CECCA9E3C3
Q62076503,Christine Amoako-Nuama,1997-01-01,1998-01-01,Q62076503-a0053862-4970-e642-7ee0-39db4888c69d
Q6297382,Joyce Aryee,1985-01-01,1987-01-01,Q6297382-189D5C74-249F-4729-A096-BF03292E9519
Q6450030,Kwaku Boateng,1964-05-01,1966-02-24,Q6450030-391E270B-9444-4258-B0E8-B931E64CB6BA
Q6514673,Lee Ocran,2012-02-01,2013-02-01,Q6514673-a7d0f52c-4887-c803-3fe5-9750f37393f2
Q7308853,Reginald Reynolds Amponsah,1971-01-01,1972-01-13,Q7308853-9BCAF12A-6566-480B-A123-C645E029449D
Q850396,Betty Mould-Iddrisu,2011-01-04,2012-01-01,Q850396-513C8971-0E46-4195-AFD1-DED758C9D59E
