@@,item,itemlabel,startdate,enddate
->,Q104553437,K. Twum Barima->Kankam Twum Barima,1969,
+++,,E. Kwaku Twumasi,1979,
+++,,J. H. Owusu-Acheampong (MP),1998,2001-01-07
->,Q1356193,Ernest Debrah->Ernest Akubuor Debrah,2005-02->2005-02-01,2009-01->2009-01-07
+++,Q16107187,Kwesi Ahwoi,2009,2012-10-24
---,Q16107187,Kwesi Ahwoi,2009-02,2013-01
+++,Q16107187,Kwesi Ahwoi,2012-10-24,2013-01-07
->,Q16196930,Fiifi Fiavi Kwetey->Fiifi Fiavi Franklin Kwetey,2014-07-16,2016-02-03
->,Q16733771,Limuna Mohammed Muniru->Alhaji Mohammed Muniru Limuna,2016-02-03,2017-01-07
