item,itemLabel,startDate,endDate
Q6438717,Krobo Edusei,,
Q61524658,A. J. Dowuona-Hammond,1964,1966-02
Q1647615,Patrick Dankwa Anin,1966,1968
Q1292452,Matthew Poku,1966,1968
Q56249921,Harona Esseku,1969,1971
Q60786543,Jatoe Kaleo,1971,1972-01
Q72028384,Lt. Colonel Anthony Selormey,1972,1973
Q110286397,Kwame Asante,1973,1974
,Colonel Peter Kwame Agyekum(Commissioner for Transport and Communications),1974,1975-10
,Colonel David A. Iddisah(Commissioner for Transport and Communications),1975-10,
,Group Captain T. T. Kutin(Commissioner for Transport and Communications),,
,Eric R.K. Dwemoh(Commissioner for Transport and Communications),,
,George Harlley(Commissioner for Transport and Communications),1978,1979-06
,George Harlley(Commissioner for Transport and Communications),1979-06,1979-09
Q5672203,Harry Sawyerr,1979,1981-12
Q17411276,Mahama Iddrisu,1983,1986
,Kwame M. Peprah(Secretary for Transport and Communications),1986,1987
,Yaw Donkor(Secretary for Transport and Communications),1987,1992
,Kwame M. Peprah(Secretary for Transport and Communications),1992,1993-01
Q5345199,Edward Salia,1993,1997
Q5345199,Edward Salia,1997,2001-01
Q929183,Felix Owusu-Adjapong,2001,2003
Q2150918,Richard Anane,2003-04,2006-10
,Vacant,2006-10,2007
,Godfred T. Bonyon(Minister for Roads and Highways),2007-08,2009-01
Q6847118,Mike Hammah,2009,2011
Q5147367,Collins Dauda,2011-01,2012-07
Q5147367,Collins Dauda,2012-07,2013-01
Q16149987,Dzifa Attivor,2013-02,2015-12
Q16196930,Fiifi Kwetey,2016-02,2017-01
Q31751719,Kweku Asiamah,2017-02,
