item,itemLabel,startDate,endDate,psid
Q16149987,Dzifa Ativor,2013-02-01,2015-12-01,Q16149987-9279F188-3D06-4152-A980-27FBCDDA1A5F
Q16196930,Fiifi Fiavi Kwetey,2016-02-01,2017-01-01,Q16196930-F09942F9-FF96-47BE-989A-2AE99A0AA73E
Q31751719,Kweku Ofori Asiamah,2017-02-01,,Q31751719-52D7EDD7-E939-4612-95CB-26E787107293
Q5147367,Collins Dauda,2011-01-01,2013-01-01,Q5147367-A041A089-EB4A-4F88-BDFC-5A3BB8F57F71
Q6847118,Mike Hammah,2009-01-01,2011-01-01,Q6847118-74E1D37F-C64C-4A80-A0A9-46C43581C201
Q929183,Felix Owusu-Adjapong,2001-01-01,2003-01-01,Q929183-b9df3445-42f6-e612-1ed6-663d0459a627
