item,itemLabel,startDate,endDate
Q8620,Kwame Nkrumah,1957,1958
Q1778897,Kojo Botsio,1958,1959
Q1278627,Ako Adjei,1959,1960
Q1660216,Imoru Egala,1960,1961
Q1278627,Ako Adjei,1961,1962
Q8620,Dr. Kwame Nkrumah,1962,1963
Q1778897,Kojo Botsio,1963,1965
Q563212,Alex Quaison-Sackey,1965,1966-02-24
Q356728,Lt. Gen. Joseph A. Ankrah,1966,1967
Q1234869,John Willie Kofi Harlley,1967,1968
Q1647615,Patrick Dankwa Anin,1969,1969
Q1314093,Victor Owusu,1969,1969
Q1314093,Victor Owusu,1969,1971
Q2580160,William Ofori Atta,1971,1972-01-13
Q1966455,Major General Nathan Apea Aferi,1972,1972
Q1794905,Lt. Colonel Kwame R.M. Baah,1972,1975
Q1585764,Colonel Roger Felli,1975,1979-06-04
Q1532050,Gloria Amon Nikoi,1979,1979-09-24
Q1673371,Dr. Isaac K. Chinebuah,1979,1981-12-31
Q1311287,Obed Asamoah,1982,1993-01-07
Q1311287,Obed Asamoah,1993-01-07,1997
Q1794910,Kwamena Ahwoi,1997,1997
Q674087,James Victor Gbeho,1997,2001-01-07
Q1567260,Hackman Owusu-Agyeman,2001,2003
Q718601,Nana Addo Dankwa Akufo-Addo,2003,2007-07
Q424369,Akwasi Osei-Adjei,2007,2009-01-07
Q58327,Muhammad Mumuni,2009,2012-07-24
Q58327,Muhammad Mumuni,2012-07-24,2013-01-07
Q5648740,Hanna Tetteh,2013-01-30,2017-01-06
Q26923626,Shirley Ayorkor Botchway,2017-01-28,
