item,itemLabel,startDate,endDate,psid
Q1311287,Obed Yao Asamoah,1982-01-01,1997-01-07,Q1311287-140BF098-723D-47E5-A50D-F4840E7C8218
Q1567260,Hackman Owusu-Agyeman,2001-02-02,2003-04-01,Q1567260-B876B875-065F-4927-8C9D-AF3E7A2DD498
Q1660216,Imoru Egala,1960-01-01,1961-01-01,Q1660216-B1B422F0-09E7-475C-A370-B5912A66D598
Q1794910,Kwamena Ahwoi,1997-01-07,1997-01-01,Q1794910-395F5F66-E60B-4370-87B0-E465C3DDDDF8
Q2580160,William Ofori Atta,1971-01-01,1972-01-01,Q2580160-4C7BAF15-32DC-4BE0-B90A-58CDD2DDFEAE
Q26923626,Shirley Ayorkor Botchway,2017-01-28,,Q26923626-4c9244d3-4a21-71f5-89d8-c0ebdb6c2ec1
Q3200845,Kwesi Osei-Adjei,2007-01-01,2009-01-01,Q3200845-79531916-dafe-406f-b81b-d3d0c43240fb
Q424369,Akwasi Osei-Adjei,2007-07-01,2009-01-07,Q424369-09F292EC-9461-4A54-BE0B-7D6307B97304
Q5648740,Hanna Tetteh,2013-01-30,2017-01-07,Q5648740-24681d6c-4366-f280-41f8-6b4794a8edb3
Q58327,Muhammad Mumuni,2009-02-01,2013-01-06,Q58327-035D09C9-1B7F-45BA-9482-3F54A757B5FC
Q674087,James Victor Gbeho,1997-01-01,2001-01-07,Q674087-486B71BD-7701-4727-A882-956B97498612
Q718601,Nana Akufo-Addo,2003-04-01,2007-07-01,Q718601-FCDA68A8-7D2E-4063-B140-9757DA238C74
