item,itemLabel,startDate,endDate
Q1778897,Kojo Botsio,1957,1958
Q63970191,Patrick Kwame Kusi Quaidoo,1958,1960
Q68298427,Ferdinand Koblavi Dra Goka,1960-07,1961-05
Q54808314,Lawrence Rosario Abavana,1961-05,1961-10
,R.S. Amegashie,1966,1969
Q24753610,R. A. Quarshie,1969,1972
Q1585764,Roger Joseph Felli,1972,
,Colonel Kobina Adduah Quashie,1975,1979
Q23710540,J.L.S. Abbey,1979,1979
,Francis Kwame Buah,1979,1980
,Vincent Y. Bulla,1980,
Q16148770,K. B. Asante,1982,1986
,Kofi Djin,1986,1992
,John Bawa,1992,1993-01
,Emma Mitchell,,1996-01
,John Frank Abu,,2000-01
Q98015706,Dan Abodakpi,2000-01,2001-01
Q98008421,Kofi Konadu Apraku,2001,2003
Q2636751,Alan Kyeremanteng,2003,2007
,Joe Baidoe-Ansah,2007,2008
Q1698546,Papa Owusu-Ankomah,2008,2009
Q5648740,Hanna Tetteh,2009,2012
Q5648740,Hanna Tetteh,2012,2013
Q109651136,Haruna Iddrisu,2013-02-14,2014-07-16
Q605985,Ekwow Spio-Garbrah,2014-07-16,2017-01-06
"",Alan John Kyerematen,2017-01-28,
