@@,item,itemlabel,startdate,enddate
+++,Q1235098,Komla Agbeli Gbedemah,1954,1957
+++,Q1235098,Komla Agbeli Gbedemah,1957,1961
+++,Q68298427,Ferdinand Koblavi Dra Goka,1961-05-08,1964
+++,Q76518592,Kwesi Amoako-Atta,1964,1966
+++,Q424377,Akwasi Afrifa,1966,1969
+++,Q1707222,Joseph Henry Mensah,1969,1972
+++,Q46995605,Robert K. A. Gardiner,1975-10-14,1978-05
+++,Q473946,Amon Nikoi,1979,1981
+++,Q23710540,J. L. S. Abbey,1979,1979
+++,Q54358710,George Benneh,1981,1981
+++,Q249036,Kwesi Botchwey,1982,1993
+++,Q249036,Kwesi Botchwey,1993,1995
+++,Q1794877,Kwadwo Baah Wiredu,2005,2007
+++,Q6449930,Kwabena Duffuor,2009,2012
---,Q6449930,Kwabena Duffuor,2009-01,2013-01
+++,Q6449930,Kwabena Duffuor,2012,2013
->,Q7456616,Seth Terkper,2013-01,2017-01-27->2017-01-06
