item,itemLabel,startDate,endDate,sourceDate,psid
Q7327158,Richard Kwame Peprah,1995,2001,,Q7327158-E12DBBA6-9663-4A71-84F3-C5AB311FB5B5
Q2599806,Yaw Osafo-Maafo,2001-02,2005-01,,Q2599806-6C312F71-C7D8-48A0-B04B-DC8AEFA497B1
Q572683,Anthony Akoto Osei,2007-08-01,2009-01,,Q572683-ae2af614-4665-3ef5-a7d8-e8100f3c2880
Q6449930,Kwabena Duffuor,2009-01,2013-01,,Q6449930-BA53756D-3E07-4361-AC53-EA42A170F337
Q7456616,Seth Terkper,2013-01,2017-01-27,,Q7456616-EEEF134A-A402-4345-8B0E-DCB0E7CFF5D5
Q20022251,Ken Ofori-Atta,2017-01-27,,,Q20022251-F8F151E7-7F33-473D-AD91-1BECA9BFA3B4
