item,itemLabel,startDate,endDate
Q1235098,Komla Agbeli Gbedemah,1961-06,
,Colonel J. C. Adjeitey,,
,"",,
Q105183969,Samuel Nuamah Donkor,1998,2000-02
Q23907308,Kwame Danso-Boafo,2000-02,2001-01-07
Q2150918,Richard Winfred Anane,2001,2003
Q48772825,Kwaku Afriyie,2003,2005
Q331645,Courage Quashigah,2005,2009-01-07
Q5546582,George Sipa-Adjah Yankey,2009,2009
Q4888931,Benjamin Kunbuor,2009,2011
Q1708293,Joseph Yieleh Chireh,2011,2012
Q2637206,Alban Bagbin,2012-01-26,2012-07-24
Q2637206,Alban Bagbin,2012-07-24,2013-01-07
Q2278444,Hanny-Sherry Ayitey,2013-02-14,2014-07-16
Q98870080,Kwaku Agyemang-Mensah,2014-07-16,2015-03-14
Q21953013,Alex Segbefia,2015-03-16,2017-01-06
Q28741196,Kwaku Agyemang-Manu,2017-01-28,
