item,itemLabel,startDate,endDate,psid
Q1708293,Joseph Yieleh Chireh,2011-01-01,2012-01-01,Q1708293-4b33f369-43e1-d105-35c0-16bfd1250a7d
Q2150918,Richard Winfred Anane,2001-01-01,2003-01-01,Q2150918-1b78263b-425a-907d-e555-cb51fb0d9d37
Q21953013,Alex Segbefia,2015-03-16,2017-01-06,Q21953013-e52b771f-46ec-5c49-bf5c-66e9f4d97e8f
Q2278444,Sherry Ayitey,2013-02-14,2014-07-16,Q2278444-01586655-487f-2812-ecab-90a49219aa5b
Q2637206,Alban Bagbin,2012-01-01,2013-01-07,Q2637206-0484b2eb-447f-153d-02a1-f427fbf13bbd
Q28741196,Kwaku Agyemang-Manu,2017-01-28,,Q28741196-c12609b1-400a-2506-4375-0480bbe57079
Q331645,Courage Quashigah,2005-01-01,2009-01-07,Q331645-A866136B-6C0A-4103-A335-821F2E6B9C77
Q48772825,Kwaku Afriyie,2003-01-01,2005-01-01,Q48772825-aa2133c0-4fc4-5b62-8c98-33d2e2d7427d
Q4888931,Benjamin Kumbuor,2009-01-01,2011-01-01,Q4888931-ee08fe54-47dc-09b1-154f-8bc3af2d8ac2
Q5546582,George Yankey,2009-01-01,2009-01-01,Q5546582-47ABEA72-3875-4A6A-BDEF-BACE2928111E
Q98870080,Kwaku Agyemang-Mensah,2014-07-16,2015-03-14,Q98870080-12aea51b-4dfe-9044-1feb-57d6382ad4a7
