@@,itemlabel,item,startdate,enddate
+++,,,,
+++,Colonel J. C. Adjeitey,,,
+++,J. H. Allassani,Q66490610,1957-03-06,1959-07
+++,Imoru Egala,Q1660216,1959-07,1960-07
+++,Lawrence Rosario Abavana,Q54808314,1960-07,1961-06
+++,Komla Agbeli Gbedemah,Q1235098,1961-06,
+++,Lawrence Rosario Abavana,Q54808314,1963-10,1964-01
+++,Joseph Kodzo,Q96602586,1964-12,1965-06
+++,Osei Owusu Afriyie,Q69523798,1965-06,1966-02
+++,Eustace Akwei,Q72925106,1966,1969
+++,Gibson Dokyi Ampaw,Q59656193,1969,1971-01
+++,Simon Diedong Dombo,Q7518612,1971-01,1972-01
+++,Lt. Colonel Anthony Hugh Selormey,Q72028384,1973-05,1975-10
+++,Abeifaa Karbo,Q19901825,1977-07,1978-11
+++,Emmanuel Evans Anfom,Q5415879,1979-06,1979-09
+++,Michael Paul Ansah,Q77979175,1979-09,1981-08
+++,Kwamena Ocran,,1981-08,1981-12-31
+++,Charles Buadu,,1983,1987
+++,F. W. K. Klutse,Q30688527,1987,1988
+++,Nana Akuoko Sarpong,Q61646303,1988,1991
+++,Stephen Obimpeh,Q30688486,1992,1993-01-07
+++,Stephen Obimpeh,Q30688486,1994-08,1996
+++,Eunice Brookman-Amissah,Q11697318,1996,1998
+++,Samuel Nuamah Donkor,Q105183969,1998,2000-02
+++,Kwame Danso-Boafo,Q23907308,2000-02,2001-01-07
->,Richard Winfred Anane,Q2150918,2001-01-01->2001,2003-01-01->2003
->,Kwaku Afriyie,Q48772825,2003-01-01->2003,2005-01-01->2005
->,Courage Quashigah,Q331645,2005-01-01->2005,2009-01-07
->,George Yankey->George Sipa-Adjah Yankey,Q5546582,2009-01-01->2009,2009-01-01->2009
->,Benjamin Kumbuor->Benjamin Kunbuor,Q4888931,2009-01-01->2009,2011-01-01->2011
->,Joseph Yieleh Chireh,Q1708293,2011-01-01->2011,2012-01-01->2012
->,Alban Bagbin,Q2637206,2012-01-01->2012-07-24,2013-01-07
+++,Alban Bagbin,Q2637206,2012-01-26,2012-07-24
->,Sherry Ayitey->Hanny-Sherry Ayitey,Q2278444,2013-02-14,2014-07-16
